B2c gmv,Old_3_vs_New_2

Healthy stores,Old_3_vs_New_2
month,Old priority,New priority
1,96.77419355,563.0322581
2,127.5517241,641.6896552
3,125.2903226,656.0
4,114.8333333,695.6
5,110.0967742,750.0322581

Imperfect orders,Old_3_vs_New_2
month,Old priority,New priority
1,341.0,2173.0
2,281.0,2090.0
3,296.0,2507.0
4,71.0,2441.0
5,138.0,2936.0

Orders per eff online,Old_3_vs_New_2
month,Old priority,New priority
1,2.73604336,4.435535074
2,1.849684577,4.115887308
3,1.696856907,4.221221751
4,0.7154359328,4.039039684
5,1.020794824,4.427816901

Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.183922788,0.314655373
2,0.244251026,0.324795605
3,0.328242977,0.329756874
4,0.255900445,0.339678803
5,0.301580986,0.336433527




